yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/TransferServlet.java,5124,5161,Where is the corresponding authentication process?
yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/TransferServlet.java,2366,2418,Where is the corresponding authentication process?
yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/TransferServlet.java,5771,5810,Where is the corresponding authentication process?
yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/TransactionsServlet.java,1482,1534,Where is the corresponding authentication process?
yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/TransactionsServlet.java,2070,2113,Where is the corresponding authentication process?
yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/Trainer.java,2220,2258,Where is the corresponding authentication process?
yellow.question.box,L/GoldRush/src/uncc/goldrush/servlet/LoginServlet.java,2128,2162,Where is the corresponding authentication process?
green.diamond,L/GoldRush/src/uncc/goldrush/servlet/AccountsServlet.java,2885,2929,Access Control Plugin Marker
green.diamond,L/GoldRush/src/uncc/goldrush/servlet/AccountsServlet.java,2716,2762,Access Control Plugin Marker
green.check.box,L/GoldRush/src/uncc/goldrush/servlet/AccountsServlet.java,2937,2993,Access Control Plugin Marker
